"plotid"	"plothalfid1"	"inv"	"year"	"variable"	"value"	"depth"	"varType"	"measLevel"	"variable1"
"1"	1	"I_1"	"I"	2012	"ammonifd_B"	-0.0567	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"2"	1	"I_1"	"I"	2013	"ammonifd_B"	0.6318	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"3"	1	"N_1"	"N"	2012	"ammonifd_B"	-0.0347	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"4"	1	"N_1"	"N"	2013	"ammonifd_B"	-0.0313	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"5"	2	"I_2"	"I"	2012	"ammonifd_B"	0.0359	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"6"	2	"I_2"	"I"	2013	"ammonifd_B"	0.162	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"7"	2	"N_2"	"N"	2012	"ammonifd_B"	-0.0369	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"8"	2	"N_2"	"N"	2013	"ammonifd_B"	0.1521	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"9"	3	"I_3"	"I"	2012	"ammonifd_B"	-0.0473	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"10"	3	"I_3"	"I"	2013	"ammonifd_B"	0.1032	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"11"	3	"N_3"	"N"	2012	"ammonifd_B"	0.3187	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"12"	3	"N_3"	"N"	2013	"ammonifd_B"	0.2803	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"13"	4	"I_4"	"I"	2012	"ammonifd_B"	-0.0537	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"14"	4	"I_4"	"I"	2013	"ammonifd_B"	0.0732	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"15"	4	"N_4"	"N"	2012	"ammonifd_B"	-0.0665	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"16"	4	"N_4"	"N"	2013	"ammonifd_B"	-0.0671	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"17"	5	"I_5"	"I"	2012	"ammonifd_B"	-0.0271	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"18"	5	"I_5"	"I"	2013	"ammonifd_B"	0.0766	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"19"	5	"N_5"	"N"	2012	"ammonifd_B"	0.0503	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"20"	5	"N_5"	"N"	2013	"ammonifd_B"	-0.0113	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"21"	6	"I_6"	"I"	2012	"ammonifd_B"	0.0177	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"22"	6	"I_6"	"I"	2013	"ammonifd_B"	-0.0141	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"23"	6	"N_6"	"N"	2012	"ammonifd_B"	-0.0323	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"24"	6	"N_6"	"N"	2013	"ammonifd_B"	-0.0017	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"25"	7	"I_7"	"I"	2012	"ammonifd_B"	-0.0452	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"26"	7	"I_7"	"I"	2013	"ammonifd_B"	-0.1781	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"27"	7	"N_7"	"N"	2012	"ammonifd_B"	-0.024	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"28"	7	"N_7"	"N"	2013	"ammonifd_B"	-0.2362	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"29"	8	"I_8"	"I"	2012	"ammonifd_B"	-0.0542	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"30"	8	"I_8"	"I"	2013	"ammonifd_B"	-0.0667	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"31"	8	"N_8"	"N"	2012	"ammonifd_B"	-0.1035	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"32"	8	"N_8"	"N"	2013	"ammonifd_B"	-0.1045	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"33"	9	"I_9"	"I"	2012	"ammonifd_B"	-0.0448	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"34"	9	"I_9"	"I"	2013	"ammonifd_B"	0.1989	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"35"	9	"N_9"	"N"	2012	"ammonifd_B"	-0.0163	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"36"	9	"N_9"	"N"	2013	"ammonifd_B"	-0.213	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"37"	10	"I_10"	"I"	2012	"ammonifd_B"	0.4443	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"38"	10	"I_10"	"I"	2013	"ammonifd_B"	-0.1441	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"39"	10	"N_10"	"N"	2012	"ammonifd_B"	-0.0163	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"40"	10	"N_10"	"N"	2013	"ammonifd_B"	-0.1761	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"41"	11	"I_11"	"I"	2012	"ammonifd_B"	0.3761	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"42"	11	"I_11"	"I"	2013	"ammonifd_B"	0.0728	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"43"	11	"N_11"	"N"	2012	"ammonifd_B"	0.0013	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"44"	11	"N_11"	"N"	2013	"ammonifd_B"	-0.2371	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"45"	13	"I_13"	"I"	2012	"ammonifd_B"	-0.0255	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"46"	13	"I_13"	"I"	2013	"ammonifd_B"	-0.0783	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"47"	13	"N_13"	"N"	2012	"ammonifd_B"	-0.0286	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"48"	13	"N_13"	"N"	2013	"ammonifd_B"	0.0073	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"49"	14	"I_14"	"I"	2012	"ammonifd_B"	NA	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"50"	14	"I_14"	"I"	2013	"ammonifd_B"	0.1056	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"51"	14	"N_14"	"N"	2012	"ammonifd_B"	-0.0596	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"52"	14	"N_14"	"N"	2013	"ammonifd_B"	-0.1122	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"53"	16	"I_16"	"I"	2012	"ammonifd_B"	NA	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"54"	16	"I_16"	"I"	2013	"ammonifd_B"	-0.0889	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"55"	16	"N_16"	"N"	2012	"ammonifd_B"	NA	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"56"	16	"N_16"	"N"	2013	"ammonifd_B"	-0.04	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"57"	17	"I_17"	"I"	2012	"ammonifd_B"	NA	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"58"	17	"I_17"	"I"	2013	"ammonifd_B"	0.018	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"59"	17	"N_17"	"N"	2012	"ammonifd_B"	-0.0184	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"60"	17	"N_17"	"N"	2013	"ammonifd_B"	-0.0272	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"61"	18	"I_18"	"I"	2012	"ammonifd_B"	NA	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"62"	18	"I_18"	"I"	2013	"ammonifd_B"	-0.1104	"B"	"measCat"	"plothalf"	"ammonifd_B_I"
"63"	18	"N_18"	"N"	2012	"ammonifd_B"	0.0301	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"64"	18	"N_18"	"N"	2013	"ammonifd_B"	-0.096	"B"	"measCat"	"plothalf"	"ammonifd_B_N"
"129"	1	"I_1"	"I"	2012	"ammonifd_T"	-0.0226	"T"	"measCat"	"plothalf"	"ammonifd_T_I"
"130"	1	"I_1"	"I"	2013	"ammonifd_T"	0.1618	"T"	"measCat"	"plothalf"	"ammonifd_T_I"
